Designator,Component,Value,Package,Quantity,Notes
U1,Instrumentation Amplifier,INA333AIDGKR,MSOP-8,2,"Dual units or single used; 1-2 on board"
U2-U4,Operational Amplifier,TL072 or MCP6002,DIP-8 or SOIC-8,3,"For filter stages and driver"
R1,Gain-Setting Resistor (INA333),5.1k,0.25W 1/4W,1,"Sets first stage gain to ~20.6x"
R2,High-Pass Filter R,82k,0.25W 1/4W,1,"Cutoff ~19.4 Hz"
R3,Filter Input Resistor,10k,0.25W 1/4W,2,"Biasing and input impedance"
R4,Second Gain Stage Rf,47k,0.25W 1/4W,1,"Sets gain to 48x"
R5,Second Gain Stage Rin,1k,0.25W 1/4W,1,""
R6,Low-Pass Filter R,36k,0.25W 1/4W,1,"Cutoff ~442 Hz"
R7,Envelope Smoothing R,10k,0.25W 1/4W,1,"Final smoothing; ~16 Hz cutoff"
R8-R9,Common-Mode Averaging,10k,0.25W 1/4W,2,"Driven reference electrode"
R10,Safety Resistor (Ref),1M,0.25W 1/4W,1,"Current limit on driven ref"
C1,High-Pass Filter C,100nF,Film,1,"Low-ESR film capacitor"
C2,Low-Pass Filter C,10nF,Film,1,"Low-ESR film capacitor"
C3,Envelope Smoothing C,1uF,Film,1,"Low-ESR film capacitor"
C4-C7,Bypass / Decoupling,100nF,X7R Ceramic,4,"Supply decoupling close to op-amps"
C8-C9,Power Supply,10uF,Ceramic X7R,2,"Local supply filtering"
D1-D2,Rectifier Diode,1N4148,SOD-123 or DO-35,4,"Precision feedback rectifier (2x per stage)"
J1,EMG Input Connector,3-pin ECG snap,Terminal Block or PCB Header,1,"Or custom header for electrode leads"
J2,Power Connector,JST PH 2-pin,,1,"3.3V supply from ESP32"
J3,Output Connector,JST PH 2-pin,,1,"To ADC input of ESP32"
,,,,,
,SUMMARY,,,,"Approx 40 components, 2-layer PCB, 80x60 mm"
